year,team,conference,expectedWins,total.games,total.wins,total.losses,total.ties
2019,Air Force,Mountain West,10.9,13,11,2,0
2019,Akron,Mid-American,1.4,12,0,12,0
2019,Alabama,SEC,11.4,13,11,2,0
2019,Appalachian State,Sun Belt,10.6,14,13,1,0
2019,Arizona,Pac-12,4,12,4,8,0
2019,Arizona State,Pac-12,5.1,13,8,5,0
2019,Arkansas,SEC,2.3,12,2,10,0
2019,Arkansas State,Sun Belt,6.7,13,8,5,0
2019,Army,FBS Independents,6.2,13,5,8,0
2019,Auburn,SEC,9.2,13,9,4,0
2019,Ball State,Mid-American,5.1,12,5,7,0
2019,Baylor,Big 12,9.9,14,11,3,0
2019,Boise State,Mountain West,10.1,14,12,2,0
2019,Boston College,ACC,6.7,13,6,7,0
2019,Bowling Green,Mid-American,2.8,12,3,9,0
2019,Buffalo,Mid-American,9.4,13,8,5,0
2019,BYU,FBS Independents,5.8,13,7,6,0
2019,California,Pac-12,7.8,13,8,5,0
2019,Central Michigan,Mid-American,8.1,14,8,6,0
2019,Charlotte,Conference USA,7.5,13,7,6,0
2019,Cincinnati,American Athletic,9.1,14,11,3,0
2019,Clemson,ACC,12.8,15,14,1,0
2019,Coastal Carolina,Sun Belt,5.2,12,5,7,0
2019,Colorado,Pac-12,4.7,12,5,7,0
2019,Colorado State,Mountain West,5.3,12,4,8,0
2019,Connecticut,American Athletic,2.7,12,2,10,0
2019,Duke,ACC,5.1,12,5,7,0
2019,East Carolina,American Athletic,3.5,12,4,8,0
2019,Eastern Michigan,Mid-American,6,13,6,7,0
2019,Florida,SEC,10.8,13,11,2,0
2019,Florida Atlantic,Conference USA,11.2,14,11,3,0
2019,Florida International,Conference USA,7.7,13,6,7,0
2019,Florida State,ACC,7,13,6,7,0
2019,Fresno State,Mountain West,6.4,12,4,8,0
2019,Georgia,SEC,11.5,14,12,2,0
2019,Georgia Southern,Sun Belt,6,13,7,6,0
2019,Georgia State,Sun Belt,6.4,13,7,6,0
2019,Georgia Tech,ACC,2,12,3,9,0
2019,Hawai'i,Mountain West,8.2,15,10,5,0
2019,Houston,American Athletic,3.4,12,4,8,0
2019,Illinois,Big Ten,5.4,13,6,7,0
2019,Indiana,Big Ten,8.1,13,8,5,0
2019,Iowa,Big Ten,7.7,13,10,3,0
2019,Iowa State,Big 12,9.4,13,7,6,0
2019,Kansas,Big 12,3.9,12,3,9,0
2019,Kansas State,Big 12,6.4,13,8,5,0
2019,Kent State,Mid-American,5.5,13,7,6,0
2019,Kentucky,SEC,8.1,13,8,5,0
2019,Liberty,FBS Independents,8.3,13,8,5,0
2019,Louisiana,Sun Belt,10.8,14,11,3,0
2019,Louisiana Monroe,Sun Belt,5.7,12,5,7,0
2019,Louisiana Tech,Conference USA,8.4,13,10,3,0
2019,Louisville,ACC,7.1,13,8,5,0
2019,LSU,SEC,14.6,15,15,0,0
2019,Marshall,Conference USA,6.3,13,8,5,0
2019,Maryland,Big Ten,3.3,12,3,9,0
2019,Memphis,American Athletic,9.8,14,12,2,0
2019,Miami,ACC,7.9,13,6,7,0
2019,Miami (OH),Mid-American,5.8,14,8,6,0
2019,Michigan,Big Ten,9.2,13,9,4,0
2019,Michigan State,Big Ten,8.3,13,7,6,0
2019,Middle Tennessee,Conference USA,5.4,12,4,8,0
2019,Minnesota,Big Ten,10.2,13,11,2,0
2019,Mississippi State,SEC,6.3,13,6,7,0
2019,Missouri,SEC,7.1,12,6,6,0
2019,Navy,American Athletic,11.1,13,11,2,0
2019,NC State,ACC,4.2,12,4,8,0
2019,Nebraska,Big Ten,6.2,12,5,7,0
2019,Nevada,Mountain West,6.3,13,7,6,0
2019,New Mexico,Mountain West,1.9,12,2,10,0
2019,New Mexico State,FBS Independents,3.1,12,2,10,0
2019,North Carolina,ACC,8.2,13,7,6,0
2019,Northern Illinois,Mid-American,5.5,12,5,7,0
2019,North Texas,Conference USA,4,12,4,8,0
2019,Northwestern,Big Ten,4.7,12,3,9,0
2019,Notre Dame,FBS Independents,9.8,13,11,2,0
2019,Ohio,Mid-American,7.7,13,7,6,0
2019,Ohio State,Big Ten,13.3,14,13,1,0
2019,Oklahoma,Big 12,11.5,14,12,2,0
2019,Oklahoma State,Big 12,6.2,13,8,5,0
2019,Old Dominion,Conference USA,2.2,12,1,11,0
2019,Ole Miss,SEC,5.1,12,4,8,0
2019,Oregon,Pac-12,11.3,14,12,2,0
2019,Oregon State,Pac-12,5.4,12,5,7,0
2019,Penn State,Big Ten,9.9,13,11,2,0
2019,Pittsburgh,ACC,7.3,13,8,5,0
2019,Purdue,Big Ten,4.4,12,4,8,0
2019,Rice,Conference USA,4,12,3,9,0
2019,Rutgers,Big Ten,1.7,12,2,10,0
2019,San Diego State,Mountain West,8.6,13,10,3,0
2019,San José State,Mountain West,5.3,12,5,7,0
2019,SMU,American Athletic,8.7,13,10,3,0
2019,South Alabama,Sun Belt,2.9,12,2,10,0
2019,South Carolina,SEC,4.3,12,4,8,0
2019,Southern Mississippi,Conference USA,6.7,13,7,6,0
2019,South Florida,American Athletic,5.1,12,4,8,0
2019,Stanford,Pac-12,4.2,12,4,8,0
2019,Syracuse,ACC,4.4,12,5,7,0
2019,TCU,Big 12,6.6,12,5,7,0
2019,Temple,American Athletic,8.1,13,8,5,0
2019,Tennessee,SEC,7.6,13,8,5,0
2019,Texas,Big 12,7.7,13,8,5,0
2019,Texas A&M,SEC,8,13,8,5,0
2019,Texas State,Sun Belt,2.8,12,3,9,0
2019,Texas Tech,Big 12,6.5,12,4,8,0
2019,Toledo,Mid-American,5.8,12,6,6,0
2019,Troy,Sun Belt,6.5,12,5,7,0
2019,Tulane,American Athletic,7.3,13,7,6,0
2019,Tulsa,American Athletic,6,12,4,8,0
2019,UAB,Conference USA,9.1,14,9,5,0
2019,UCF,American Athletic,9.6,13,10,3,0
2019,UCLA,Pac-12,3.6,12,4,8,0
2019,UMass,FBS Independents,1,12,1,11,0
2019,UNLV,Mountain West,4.8,12,4,8,0
2019,USC,Pac-12,7.8,13,8,5,0
2019,Utah,Pac-12,11.2,14,11,3,0
2019,Utah State,Mountain West,5.7,13,7,6,0
2019,UTEP,Conference USA,1.7,12,1,11,0
2019,UT San Antonio,Conference USA,3.6,12,4,8,0
2019,Vanderbilt,SEC,2.5,12,3,9,0
2019,Virginia,ACC,8.4,14,9,5,0
2019,Virginia Tech,ACC,8.6,13,8,5,0
2019,Wake Forest,ACC,8.4,13,8,5,0
2019,Washington,Pac-12,8,13,8,5,0
2019,Washington State,Pac-12,8,13,6,7,0
2019,Western Kentucky,Conference USA,8.4,13,9,4,0
2019,Western Michigan,Mid-American,6.6,13,7,6,0
2019,West Virginia,Big 12,3.8,12,5,7,0
2019,Wisconsin,Big Ten,11.1,14,10,4,0
2019,Wyoming,Mountain West,7.2,13,8,5,0
