id,week,home_id,home_team,home_points,away_id,away_team,away_points
401013357,1,113,UMass,63,2184,Duquesne,15
401014972,1,242,Rice,31,2504,Prairie View,28
401022510,1,36,Colorado State,34,62,Hawai'i,43
401013437,1,166,New Mexico State,7,2751,Wyoming,29
401019470,1,41,Connecticut,17,2116,UCF,56
401020671,1,2050,Ball State,42,2115,Central Connecticut,6
401021651,1,2247,Georgia State,24,338,Kennesaw State,20
401013328,1,135,Minnesota,48,166,New Mexico State,10
401021655,1,2433,Louisiana Monroe,34,2545,Southeastern Louisiana,31
401014979,1,5,UAB,52,2542,Savannah State,0
401013489,1,197,Oklahoma State,58,2623,Missouri State,17
401012675,1,254,Utah,41,2692,Weber State,10
401013086,1,2655,Tulane,17,154,Wake Forest,23
401013342,1,2509,Purdue,27,77,Northwestern,31
401012258,1,245,Texas A&M,59,2466,Northwestern State,7
401022511,1,23,San José State,38,302,UC Davis,44
401020673,1,2711,Western Michigan,42,183,Syracuse,55
401020672,1,2199,Eastern Michigan,51,2405,Monmouth,17
401013089,1,150,Duke,34,349,Army,14
401012880,1,127,Michigan State,38,328,Utah State,31
401022517,1,2440,Nevada,72,2502,Portland State,19
401022512,1,24,Stanford,31,21,San Diego State,10
401013354,1,275,Wisconsin,34,98,Western Kentucky,3
401012680,1,36,Colorado State,13,38,Colorado,45
401012256,1,2579,South Carolina,49,324,Coastal Carolina,15
401012820,1,164,Rutgers,35,326,Texas State,7
401014977,1,242,Rice,27,248,Houston,45
401012253,1,2641,Texas Tech,27,145,Ole Miss,47
401012682,1,194,Ohio State,77,204,Oregon State,31
401012872,1,120,Maryland,34,251,Texas,29
401013065,1,201,Oklahoma,63,2226,Florida Atlantic,14
401012804,1,356,Illinois,31,2309,Kent State,24
401013072,1,2628,TCU,55,2582,Southern,7
401013091,1,152,NC State,24,256,James Madison,13
401019473,1,218,Temple,17,222,Villanova,19
401013088,1,228,Clemson,48,231,Furman,7
401013090,1,59,Georgia Tech,41,2016,Alcorn State,0
401013087,1,103,Boston College,55,113,UMass,21
401022514,1,2005,Air Force,38,2619,Stony Brook,0
401020675,1,195,Ohio,38,47,Howard,32
401012250,1,61,Georgia,45,2046,Austin Peay,0
401013092,1,221,Pittsburgh,33,399,Albany,7
401013349,1,213,Penn State,45,2026,Appalachian State,38
401012257,1,2633,Tennessee,14,277,West Virginia,40
401012251,1,96,Kentucky,35,2117,Central Michigan,20
401012683,1,2751,Wyoming,19,265,Washington State,41
401012248,1,2,Auburn,21,264,Washington,16
401012862,1,2294,Iowa,33,2459,Northern Illinois,7
401012678,1,30,USC,43,2439,UNLV,21
401012684,1,25,California,24,153,North Carolina,17
401012255,1,142,Missouri,51,2630,UT Martin,14
401012247,1,8,Arkansas,55,2197,Eastern Illinois,20
401021653,1,290,Georgia Southern,37,2569,South Carolina State,6
401013094,1,258,Virginia,42,257,Richmond,13
401019472,1,58,South Florida,34,2210,Elon,14
401014973,1,2429,Charlotte,34,2230,Fordham,10
401021656,1,2653,Troy,20,68,Boise State,56
401020674,1,2084,Buffalo,48,2169,Delaware State,10
401014975,1,193,Miami (OH),28,276,Marshall,35
401013448,1,2335,Liberty,52,295,Old Dominion,10
401012851,1,2229,Florida International,28,84,Indiana,38
401013048,1,2305,Kansas,23,2447,Nicholls,26
401019474,1,235,Memphis,66,2382,Mercer,14
401021654,1,309,Louisiana,49,2755,Grambling,17
401012679,1,26,UCLA,17,2132,Cincinnati,26
401019476,1,202,Tulsa,38,2110,Central Arkansas,27
401021652,1,2032,Arkansas State,48,2546,Southeast Missouri State,21
401013057,1,2306,Kansas State,27,233,South Dakota,24
401014978,1,2572,Southern Mississippi,55,2296,Jackson State,7
401014974,1,6,South Alabama,26,2348,Louisiana Tech,30
401020676,1,2649,Toledo,66,2678,VMI,3
401014976,1,249,North Texas,46,2567,SMU,23
