id,home_id,home_team,home_points,away_id,away_team,away_points,week
401110723,57,Florida,24,2390,Miami,20,1
401114164,62,Hawai'i,45,12,Arizona,38,1
401117855,41,Connecticut,24,2681,Wagner,21,1
401119255,2084,Buffalo,38,2523,Robert Morris,10,1
401119254,189,Bowling Green,46,2415,Morgan State,3,1
401117854,2132,Cincinnati,24,26,UCLA,14,1
401117853,2116,UCF,62,50,Florida A&M,0,1
401135910,2429,Charlotte,49,2241,Gardner-Webb,28,1
401114246,98,Western Kentucky,28,2110,Central Arkansas,35,1
401111653,228,Clemson,52,59,Georgia Tech,14,1
401114237,5,UAB,24,2011,Alabama State,19,1
401114236,2655,Tulane,42,2229,Florida International,14,1
401110731,245,Texas A&M,41,326,Texas State,7,1
401119253,2117,Central Michigan,38,399,Albany,21,1
401112229,135,Minnesota,28,2571,South Dakota State,21,1
401117493,23,San José State,35,2458,Northern Colorado,18,1
401114153,9,Arizona State,30,2309,Kent State,7,1
401114223,252,BYU,12,254,Utah,30,1
401114238,349,Army,14,242,Rice,7,1
401112212,127,Michigan State,28,202,Tulsa,7,1
401112264,164,Rutgers,48,113,UMass,21,1
401117856,58,South Florida,0,275,Wisconsin,49,1
401112430,154,Wake Forest,38,328,Utah State,35,1
401112262,2440,Nevada,34,2509,Purdue,31,1
401114184,38,Colorado,52,36,Colorado State,31,1
401112122,204,Oregon State,36,197,Oklahoma State,52,1
401112251,194,Ohio State,45,2226,Florida Atlantic,21,1
401112096,2305,Kansas,24,282,Indiana State,17,1
401112431,52,Florida State,31,68,Boise State,36,1
401112157,2050,Ball State,24,84,Indiana,34,1
401112432,152,NC State,34,151,East Carolina,6,1
401110724,96,Kentucky,38,2649,Toledo,24,1
401110727,309,Louisiana,28,344,Mississippi State,38,1
401112145,356,Illinois,42,2006,Akron,3,1
401112238,158,Nebraska,35,6,South Alabama,21,1
401112085,66,Iowa State,29,2460,Northern Iowa,26,1
401110726,235,Memphis,15,145,Ole Miss,10,1
401112201,120,Maryland,79,47,Howard,0,1
401119259,195,Ohio,41,227,Rhode Island,20,1
401112143,277,West Virginia,20,256,James Madison,13,1
401114233,264,Washington,47,331,Eastern Washington,14,1
401117859,218,Temple,56,2083,Bucknell,12,1
401110729,153,North Carolina,24,2579,South Carolina,20,1
401117857,2426,Navy,45,107,Holy Cross,7,1
401119256,324,Coastal Carolina,23,2199,Eastern Michigan,30,1
401110730,2633,Tennessee,30,2247,Georgia State,38,1
401112257,213,Penn State,79,70,Idaho,7,1
401121934,2026,Appalachian State,42,2193,East Tennessee State,7,1
401117494,2005,Air Force,48,2142,Colgate,7,1
401110720,333,Alabama,42,150,Duke,3,1
401110721,8,Arkansas,20,2502,Portland State,13,1
401112435,103,Boston College,35,259,Virginia Tech,28,1
401112139,2641,Texas Tech,45,147,Montana State,10,1
401112245,24,Stanford,17,77,Northwestern,7,1
401117495,167,New Mexico,39,2534,Sam Houston State,31,1
401112434,2335,Liberty,0,183,Syracuse,24,1
401121935,2653,Troy,43,2097,Campbell,14,1
401114245,2636,UT San Antonio,35,2916,Incarnate Word,7,1
401114174,25,California,27,302,UC Davis,13,1
401114240,276,Marshall,56,2678,VMI,17,1
401114243,2572,Southern Mississippi,38,2016,Alcorn State,10,1
401114242,295,Old Dominion,24,2450,Norfolk State,21,1
401112106,2306,Kansas State,49,2447,Nicholls,14,1
401119257,2459,Northern Illinois,24,2287,Illinois State,10,1
401112073,239,Baylor,56,2617,Stephen F. Austin,17,1
401119258,2711,Western Michigan,48,2405,Monmouth,13,1
401117858,2032,Arkansas State,30,2567,SMU,37,1
401114241,249,North Texas,51,2000,Abilene Christian,31,1
401110732,238,Vanderbilt,6,61,Georgia,30,1
401110728,2751,Wyoming,37,142,Missouri,31,1
401112222,130,Michigan,40,2393,Middle Tennessee,21,1
401112433,221,Pittsburgh,14,258,Virginia,30,1
401110722,2,Auburn,27,2483,Oregon,21,1
401110725,99,LSU,55,290,Georgia Southern,3,1
401112191,2294,Iowa,38,193,Miami (OH),14,1
401112135,251,Texas,45,2348,Louisiana Tech,14,1
401112129,2628,TCU,39,2029,Arkansas-Pine Bluff,7,1
401128468,2433,Louisiana Monroe,31,2755,Grambling,9,1
401114244,2638,UTEP,36,2277,Houston Baptist,34,1
401117496,21,San Diego State,6,2692,Weber State,0,1
401117497,2439,UNLV,56,253,Southern Utah,23,1
401114228,265,Washington State,58,166,New Mexico State,7,1
401114218,30,USC,31,278,Fresno State,23,1
401112114,201,Oklahoma,49,248,Houston,31,1
401112436,97,Louisville,17,87,Notre Dame,35,1
401112437,258,Virginia,52,2729,William & Mary,17,2
