,team,conference,expectedWins,total.games,total.wins,total.losses,total.ties,talent,offense.overall,defense.overall
0,Air Force,Mountain West,6.4,12,5,7,0,186.27,0.223774673426923,0.1848199528770249
1,Akron,Mid-American,2.9,12,4,8,0,361.0,0.0422905962131992,0.0887918046495841
2,Alabama,SEC,13.5,15,14,1,0,978.54,0.4082244334643091,0.0567697000320114
3,Appalachian State,Sun Belt,10.9,13,11,2,0,356.16,0.261832592146544,-0.007675646561393
4,Arizona,Pac-12,6.4,12,5,7,0,580.54,0.217906843262446,0.2070447248642895
5,Arizona State,Pac-12,5.6,13,7,6,0,687.72,0.2239199321104801,0.1833482581897922
6,Arkansas,SEC,3.2,12,2,10,0,694.63,0.1042386478749799,0.2113777167898444
7,Arkansas State,Sun Belt,8.7,13,8,5,0,433.73,0.207060184862739,0.1401650615123044
8,Army,FBS Independents,9.6,13,11,2,0,230.75,0.300818285845761,0.1608879598421259
9,Auburn,SEC,8.6,13,8,5,0,827.37,0.1683762624935699,0.0741758103067177
10,Ball State,Mid-American,3.9,12,4,8,0,362.1,0.1751260169176505,0.238079938237544
11,Baylor,Big 12,6.9,13,7,6,0,668.37,0.2498458234471085,0.2643845587185449
12,Boise State,Mountain West,8.8,13,10,3,0,543.43,0.2668408236544572,0.1528111934496535
13,Boston College,ACC,7.5,12,7,5,0,533.43,0.1330976243687861,0.0770664456393636
14,Bowling Green,Mid-American,2.8,12,3,9,0,375.14,0.1337064060522172,0.3156396770584461
15,Buffalo,Mid-American,10.9,14,10,4,0,369.14,0.2070741116747093,0.1715560313049455
16,BYU,FBS Independents,8.3,13,7,6,0,565.85,0.1701866139776664,0.1078217549633002
17,California,Pac-12,6.3,13,7,6,0,596.08,0.0414484808499447,0.0155324255677524
18,Central Michigan,Mid-American,1.8,12,1,11,0,413.6,-0.0235568164237092,0.100820129755757
19,Charlotte,Conference USA,5.7,12,5,7,0,311.0,0.1282310356097333,0.1202483050731967
20,Cincinnati,American Athletic,10.3,13,11,2,0,543.78,0.2605549034232791,0.0191692565970429
21,Clemson,ACC,13.9,15,15,0,0,893.21,0.3677769430922078,-0.0340941424172333
22,Coastal Carolina,Sun Belt,4.7,12,5,7,0,284.24,0.2248821200796723,0.3402966563018252
23,Colorado,Pac-12,5.3,12,5,7,0,575.65,0.1125330536828584,0.1420334206293766
24,Colorado State,Mountain West,3.1,12,3,9,0,479.97,0.1430767634970818,0.2835151495997318
25,Connecticut,American Athletic,1.1,12,1,11,0,389.2,0.1535768250507642,0.5165935999230031
26,Duke,ACC,7.4,13,8,5,0,635.63,0.1426099895036795,0.1663231008760868
27,East Carolina,American Athletic,4.7,12,3,9,0,434.48,0.0836978845452249,0.2163946433079528
28,Eastern Michigan,Mid-American,7.8,13,7,6,0,344.06,0.1373388315479261,0.1082834156547449
29,Florida,SEC,9.6,13,10,3,0,831.78,0.2532673756091179,0.0888141329787074
30,Florida Atlantic,Conference USA,6.0,12,5,7,0,537.93,0.2233547788339504,0.1802154746004163
31,Florida International,Conference USA,9.4,13,9,4,0,476.52,0.2771282808757121,0.1868325851402215
32,Florida State,ACC,4.0,12,5,7,0,888.75,0.1008401010120186,0.0894212415741209
33,Fresno State,Mountain West,11.9,14,12,2,0,459.07,0.2533331357944783,0.040173767905842
34,Georgia,SEC,11.6,14,11,3,0,964.0,0.35610307099939,0.0720065541146668
35,Georgia Southern,Sun Belt,8.4,13,10,3,0,303.12,0.2087487184858108,0.1630182940568357
36,Georgia State,Sun Belt,2.3,12,2,10,0,404.34,0.2065124730510303,0.3988079774426031
37,Georgia Tech,ACC,6.8,13,7,6,0,583.49,0.2779893248551352,0.2420855923397005
38,Hawai'i,Mountain West,7.4,14,8,6,0,343.97,0.2188279072654329,0.2550096868273407
39,Houston,American Athletic,7.9,13,8,5,0,577.17,0.3164073408427552,0.2308240770441032
40,Illinois,Big Ten,4.1,12,4,8,0,562.67,0.171561122247169,0.3454260563233887
41,Indiana,Big Ten,5.0,12,5,7,0,564.04,0.1410937656966777,0.2320927240443343
42,Iowa,Big Ten,8.6,13,9,4,0,615.08,0.1955763055489177,0.0253983882624748
43,Iowa State,Big 12,8.4,13,8,5,0,575.76,0.1938974560463708,0.1328332977842012
44,Kansas,Big 12,2.8,12,3,9,0,517.1,0.1239098019782183,0.2175598478859912
45,Kansas State,Big 12,5.6,12,5,7,0,547.43,0.1207526538796248,0.1850637604305288
46,Kent State,Mid-American,3.3,12,2,10,0,351.73,0.1252871535409779,0.2189361370677191
47,Kentucky,SEC,7.6,13,9,4,0,670.27,0.1749139712457216,0.1130457646567865
48,Liberty,FBS Independents,5.0,12,6,6,0,93.99,0.1473229206505033,0.2232979296482432
49,Louisiana,Sun Belt,5.5,14,7,7,0,376.68,0.2552335536502194,0.3110750714385273
50,Louisiana Monroe,Sun Belt,5.9,12,6,6,0,326.66,0.2217611643983226,0.2498345274537212
51,Louisiana Tech,Conference USA,7.0,13,8,5,0,477.5,0.1305403063291798,0.1130829471286356
52,Louisville,ACC,2.2,12,2,10,0,632.22,0.0758662390081112,0.352721071948401
53,LSU,SEC,9.8,13,10,3,0,889.91,0.1617738829240497,0.0861498432151112
54,Marshall,Conference USA,8.5,13,9,4,0,451.61,0.1330635461388433,0.0823736616547798
55,Maryland,Big Ten,6.0,12,5,7,0,725.94,0.1894083464452087,0.1236096446130912
56,Memphis,American Athletic,9.1,14,8,6,0,480.07,0.3119330056195364,0.1805446355612504
57,Miami,ACC,8.2,13,7,6,0,753.72,0.1522332548150705,-0.006497194218179
58,Miami (OH),Mid-American,6.1,12,6,6,0,421.22,0.1662436406063288,0.1748437309855309
59,Michigan,Big Ten,9.6,13,10,3,0,862.35,0.2376103567303974,0.0121280992901202
60,Michigan State,Big Ten,7.2,13,7,6,0,658.85,0.0285788144216074,0.0351375436969177
61,Middle Tennessee,Conference USA,6.8,14,8,6,0,414.19,0.1262970785892115,0.1444392890438043
62,Minnesota,Big Ten,7.1,13,7,6,0,588.97,0.1805959849276571,0.1967374924210706
63,Mississippi State,SEC,8.7,13,8,5,0,729.97,0.2367203438501781,-0.0465618619316463
64,Missouri,SEC,9.7,13,9,4,0,595.14,0.2314513818612,0.1175571227391604
65,Navy,American Athletic,4.1,13,3,10,0,349.26,0.1644969587300352,0.3029850915349181
66,NC State,ACC,8.7,13,9,4,0,629.39,0.2245465393415698,0.1919481306358402
67,Nebraska,Big Ten,6.8,12,4,8,0,711.22,0.2329934705597082,0.1727247106478808
68,Nevada,Mountain West,6.5,13,8,5,0,432.4,0.1704795570719425,0.1005797204070931
69,New Mexico,Mountain West,3.8,12,3,9,0,411.95,0.0995927781430038,0.2690172060740245
70,New Mexico State,FBS Independents,2.3,12,3,9,0,249.32,0.0629947057335552,0.2202461664225913
71,North Carolina,ACC,3.6,11,2,9,0,688.48,0.1386894967639327,0.2174273567597834
72,Northern Illinois,Mid-American,6.5,14,8,6,0,432.31,0.0594405512488834,0.0789625615257991
73,North Texas,Conference USA,9.2,13,9,4,0,368.58,0.2000395532890227,0.0964092380712744
