,year,rank,team,points,year,rank,team,points,year,rank,team,points,year,rank,team,points,year,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,season,team,totalPPA,percentPPA
0,2014,1,Alabama,319.71,2015,1,Alabama,311.1,2016,1,Alabama,302.04,2017,1,Alabama,323.87,2014,Air Force,13,10,3,0,Air Force,14,8,6,0,Air Force,13,10,3,0,Air Force,12,5,7,0,2018,Air Force,210.7,0.667
1,2014,2,LSU,299.29,2015,2,USC,310.88,2016,2,LSU,295.03,2017,2,Ohio State,312.14,2014,Akron,12,5,7,0,Akron,13,8,5,0,Akron,12,5,7,0,Akron,14,7,7,0,2018,Akron,84.0,0.335
2,2014,3,Ohio State,296.08,2015,3,Florida State,287.06,2016,3,Florida State,294.83,2017,3,Georgia,301.6,2014,Alabama,14,12,2,0,Alabama,15,14,1,0,Alabama,15,14,1,0,Alabama,14,13,1,0,2018,Alabama,358.9,0.78
3,2014,4,Florida State,286.79,2015,4,Tennessee,286.26,2016,4,Ohio State,289.12,2017,4,USC,297.1,2014,Appalachian State,12,7,5,0,Appalachian State,13,11,2,0,Appalachian State,13,10,3,0,Appalachian State,13,9,4,0,2018,Appalachian State,133.0,0.324
4,2014,5,Texas A&M,278.08,2015,5,LSU,284.37,2016,5,Ole Miss,281.69,2017,5,Michigan,296.03,2014,Arizona,14,10,4,0,Arizona,13,7,6,0,Arizona,12,3,9,0,Arizona,13,7,6,0,2018,Arizona,357.0,0.744
5,2014,6,Auburn,277.12,2015,6,Georgia,282.54,2016,6,Georgia,281.31,2017,6,Florida State,292.88,2014,Arizona State,13,10,3,0,Arizona State,13,6,7,0,Arizona State,12,5,7,0,Arizona State,13,7,6,0,2018,Arizona State,378.9,0.896
6,2014,7,Tennessee,274.77,2015,7,Ohio State,279.6,2016,7,Texas,280.66,2017,7,LSU,287.66,2014,Arkansas,13,7,6,0,Arkansas,13,8,5,0,Arkansas,13,7,6,0,Arkansas,12,4,8,0,2018,Arkansas,248.0,0.665
7,2014,8,Georgia,273.39,2015,8,Auburn,278.31,2016,8,Michigan,280.38,2017,8,Oklahoma,270.79,2014,Arkansas State,13,7,6,0,Arkansas State,13,9,4,0,Arkansas State,13,8,5,0,Arkansas State,12,7,5,0,2018,Arkansas State,319.1,0.714
8,2014,9,Florida,267.4,2015,9,Clemson,277.98,2016,9,Auburn,275.14,2017,9,Auburn,255.92,2014,Army,12,4,8,0,Army,12,2,10,0,Army,13,8,5,0,Army,13,10,3,0,2018,Army,165.8,0.599
9,2014,10,USC,264.86,2015,10,Texas,272.49,2016,10,USC,273.71,2017,10,Notre Dame,251.32,2014,Auburn,13,8,5,0,Auburn,13,7,6,0,Auburn,13,8,5,0,Auburn,14,10,4,0,2018,Auburn,339.7,0.809
10,2014,11,Notre Dame,260.44,2015,11,Texas A&M,270.61,2016,11,Clemson,271.16,2017,11,Florida,251.23,2014,Ball State,12,5,7,0,Ball State,12,3,9,0,Ball State,12,4,8,0,Ball State,12,2,10,0,2018,Ball State,184.7,1.256
11,2014,12,Miami,256.08,2015,12,UCLA,269.68,2016,12,Florida,260.96,2017,12,Miami,248.67,2014,Baylor,13,11,2,0,Baylor,13,10,3,0,Baylor,13,7,6,0,Baylor,12,1,11,0,2018,Baylor,287.4,0.84
12,2014,13,Stanford,250.05,2015,13,Notre Dame,267.79,2016,13,UCLA,259.06,2017,13,Texas A&M,248.58,2014,Boise State,14,12,2,0,Boise State,13,9,4,0,Boise State,13,10,3,0,Boise State,14,11,3,0,2018,Boise State,241.9,0.533
13,2014,14,Oklahoma,248.94,2015,14,Penn State,250.0,2016,14,Tennessee,253.94,2017,14,Stanford,246.79,2014,Boston College,13,7,6,0,Boston College,12,3,9,0,Boston College,13,7,6,0,Boston College,13,7,6,0,2018,Boston College,167.0,0.777
14,2014,15,Ole Miss,241.12,2015,15,Oklahoma,249.69,2016,15,Notre Dame,249.43,2017,15,Penn State,240.47,2014,Bowling Green,14,8,6,0,Bowling Green,14,10,4,0,Bowling Green,12,4,8,0,Bowling Green,12,2,10,0,2018,Bowling Green,166.5,0.595
15,2014,16,Clemson,240.73,2015,16,Oregon,245.79,2016,16,Stanford,245.82,2017,16,Clemson,238.91,2014,Buffalo,11,5,6,0,Buffalo,12,5,7,0,Buffalo,12,2,10,0,Buffalo,12,6,6,0,2018,Buffalo,313.8,0.74
16,2014,17,Texas,239.85,2015,17,Ole Miss,245.71,2016,17,Michigan State,239.13,2017,17,Tennessee,237.21,2014,BYU,13,8,5,0,BYU,13,9,4,0,BYU,13,9,4,0,BYU,13,4,9,0,2018,BYU,220.0,0.863
17,2014,18,UCLA,239.74,2015,18,Mississippi State,237.46,2016,18,Texas A&M,238.94,2017,18,Maryland,230.17,2014,California,12,5,7,0,California,13,8,5,0,California,12,5,7,0,California,12,5,7,0,2018,California,293.5,0.871
18,2014,19,South Carolina,239.33,2015,19,Arizona State,232.73,2016,19,Oklahoma,238.73,2017,19,Oregon,230.04,2014,Central Michigan,13,7,6,0,Central Michigan,13,7,6,0,Central Michigan,13,6,7,0,Central Michigan,13,8,5,0,2018,Central Michigan,61.5,0.198
19,2014,20,Michigan,233.54,2015,20,South Carolina,230.49,2016,20,Penn State,237.79,2017,20,UCLA,229.13,2014,Cincinnati,13,9,4,0,Charlotte,12,2,10,0,Charlotte,12,4,8,0,Charlotte,12,1,11,0,2018,Charlotte,42.0,1.2
20,2014,21,Oregon,232.44,2015,21,Florida,227.46,2016,21,TCU,235.79,2017,21,South Carolina,227.58,2014,Clemson,13,10,3,0,Cincinnati,13,7,6,0,Cincinnati,12,4,8,0,Cincinnati,12,4,8,0,2018,Cincinnati,220.2,0.795
