team,year,rank,points,year,rank,points,year,rank,points,year,rank,points,year,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,season,totalPPA,percentPPA
Alabama,2014,1,319.71,2015,1,311.1,2016,1,302.04,2017,1,323.87,2014,14,12,2,0,15,14,1,0,15,14,1,0,14,13,1,0,2018,358.9,0.78
LSU,2014,2,299.29,2015,5,284.37,2016,2,295.03,2017,7,287.66,2014,13,8,5,0,12,9,3,0,12,8,4,0,13,9,4,0,2018,74.8,0.188
Ohio State,2014,3,296.08,2015,7,279.6,2016,4,289.12,2017,2,312.14,2014,15,14,1,0,13,12,1,0,13,11,2,0,14,12,2,0,2018,370.1,0.607
Florida State,2014,4,286.79,2015,3,287.06,2016,3,294.83,2017,6,292.88,2014,14,13,1,0,13,10,3,0,13,10,3,0,13,7,6,0,2018,179.3,0.654
Texas A&M,2014,5,278.08,2015,11,270.61,2016,18,238.94,2017,13,248.58,2014,13,8,5,0,13,8,5,0,13,8,5,0,13,7,6,0,2018,244.5,0.613
Auburn,2014,6,277.12,2015,8,278.31,2016,9,275.14,2017,9,255.92,2014,13,8,5,0,13,7,6,0,13,8,5,0,14,10,4,0,2018,339.7,0.809
Tennessee,2014,7,274.77,2015,4,286.26,2016,14,253.94,2017,17,237.21,2014,13,7,6,0,13,9,4,0,13,9,4,0,12,4,8,0,2018,104.2,0.655
Georgia,2014,8,273.39,2015,6,282.54,2016,6,281.31,2017,3,301.6,2014,13,10,3,0,13,10,3,0,13,8,5,0,15,13,2,0,2018,332.9,0.632
Florida,2014,9,267.4,2015,21,227.46,2016,12,260.96,2017,11,251.23,2014,12,7,5,0,14,10,4,0,13,9,4,0,11,4,7,0,2018,174.1,0.705
USC,2014,10,264.86,2015,2,310.88,2016,10,273.71,2017,4,297.1,2014,13,9,4,0,14,8,6,0,13,10,3,0,14,11,3,0,2018,171.8,0.295
Notre Dame,2014,11,260.44,2015,13,267.79,2016,15,249.43,2017,10,251.32,2014,13,8,5,0,13,10,3,0,12,4,8,0,13,10,3,0,2018,254.0,0.677
Miami,2014,12,256.08,2015,27,215.49,2016,22,231.78,2017,12,248.67,2014,13,6,7,0,13,8,5,0,13,9,4,0,13,10,3,0,2018,248.9,0.728
Stanford,2014,13,250.05,2015,24,220.65,2016,16,245.82,2017,14,246.79,2014,13,8,5,0,14,12,2,0,13,10,3,0,14,9,5,0,2018,384.9,0.863
Oklahoma,2014,14,248.94,2015,15,249.69,2016,19,238.73,2017,8,270.79,2014,13,8,5,0,13,11,2,0,13,11,2,0,14,12,2,0,2018,336.9,0.404
Ole Miss,2014,15,241.12,2015,17,245.71,2016,5,281.69,2017,31,207.63,2014,13,9,4,0,13,10,3,0,12,5,7,0,12,6,6,0,2018,297.3,0.623
Clemson,2014,16,240.73,2015,9,277.98,2016,11,271.16,2017,16,238.91,2014,13,10,3,0,15,14,1,0,15,14,1,0,14,12,2,0,2018,360.2,0.792
Texas,2014,17,239.85,2015,10,272.49,2016,7,280.66,2017,25,217.76,2014,13,6,7,0,12,5,7,0,12,5,7,0,13,7,6,0,2018,196.1,0.651
UCLA,2014,18,239.74,2015,12,269.68,2016,13,259.06,2017,20,229.13,2014,13,10,3,0,13,8,5,0,12,4,8,0,13,6,7,0,2018,174.9,0.345
South Carolina,2014,19,239.33,2015,20,230.49,2016,25,216.77,2017,21,227.58,2014,13,7,6,0,12,3,9,0,13,6,7,0,13,9,4,0,2018,273.8,0.889
Michigan,2014,20,233.54,2015,37,194.82,2016,8,280.38,2017,5,296.03,2014,12,5,7,0,13,10,3,0,13,10,3,0,13,8,5,0,2018,173.5,0.745
Oregon,2014,21,232.44,2015,16,245.79,2016,27,216.42,2017,19,230.04,2014,15,13,2,0,13,9,4,0,12,4,8,0,13,7,6,0,2018,255.4,0.657
Kentucky,2014,22,225.4,2015,38,193.19,2016,34,204.07,2017,30,207.73,2014,12,5,7,0,12,5,7,0,13,7,6,0,13,7,6,0,2018,108.9,0.34
Arizona State,2014,23,223.19,2015,19,232.73,2016,24,217.62,2017,32,206.68,2014,13,10,3,0,13,6,7,0,12,5,7,0,13,7,6,0,2018,378.9,0.896
Penn State,2014,24,221.35,2015,14,250.0,2016,20,237.79,2017,15,240.47,2014,13,7,6,0,13,7,6,0,14,11,3,0,13,11,2,0,2018,319.9,0.589
Baylor,2014,25,218.13,2015,36,195.88,2016,40,191.99,2017,40,193.36,2014,13,11,2,0,13,10,3,0,13,7,6,0,12,1,11,0,2018,287.4,0.84
Michigan State,2014,26,217.62,2015,23,221.77,2016,17,239.13,2017,36,203.65,2014,13,11,2,0,14,12,2,0,12,3,9,0,13,10,3,0,2018,325.7,0.947
Oklahoma State,2014,27,217.59,2015,40,191.28,2016,45,184.33,2017,38,194.18,2014,13,7,6,0,13,10,3,0,13,10,3,0,13,10,3,0,2018,219.5,0.306
Virginia Tech,2014,28,217.39,2015,29,212.07,2016,42,190.06,2017,26,217.74,2014,13,7,6,0,13,7,6,0,14,10,4,0,13,9,4,0,2018,236.7,0.688
Arkansas,2014,29,215.5,2015,22,222.51,2016,23,219.34,2017,27,212.74,2014,13,7,6,0,13,8,5,0,13,7,6,0,12,4,8,0,2018,248.0,0.665
North Carolina,2014,30,213.58,2015,28,214.05,2016,32,204.83,2017,29,207.81,2014,13,6,7,0,14,11,3,0,13,8,5,0,12,3,9,0,2018,234.3,0.828
Arizona,2014,31,213.29,2015,43,186.57,2016,48,180.42,2017,45,185.88,2014,14,10,4,0,13,7,6,0,12,3,9,0,13,7,6,0,2018,357.0,0.744
Wisconsin,2014,32,205.44,2015,41,189.85,2016,35,202.85,2017,39,193.87,2014,14,11,3,0,13,10,3,0,14,11,3,0,14,13,1,0,2018,403.9,0.861
Virginia,2014,33,205.34,2015,50,179.92,2016,63,164.95,2017,58,172.5,2014,12,5,7,0,12,4,8,0,12,2,10,0,13,6,7,0,2018,101.9,0.441
NC State,2014,34,201.31,2015,31,208.69,2016,50,177.67,2017,53,180.46,2014,13,8,5,0,13,7,6,0,13,7,6,0,13,9,4,0,2018,375.8,0.785
Nebraska,2014,35,200.24,2015,30,211.72,2016,26,216.76,2017,23,224.33,2014,13,9,4,0,13,6,7,0,13,9,4,0,12,4,8,0,2018,130.4,0.439
Mississippi State,2014,36,199.92,2015,18,237.46,2016,28,211.11,2017,24,220.22,2014,13,10,3,0,13,9,4,0,13,6,7,0,13,9,4,0,2018,258.8,0.866
Missouri,2014,37,198.53,2015,25,217.98,2016,43,188.37,2017,43,187.71,2014,14,11,3,0,12,5,7,0,12,4,8,0,13,7,6,0,2018,448.1,0.769
