,rank_x,team,points_x,rank_y,points_y,rank_x,points_x,rank_y,points_y,total.games_x,total.wins_x,total.losses_x,total.ties_x,total.games_y,total.wins_y,total.losses_y,total.ties_y,total.games_x,total.wins_x,total.losses_x,total.ties_x,total.games_y,total.wins_y,total.losses_y,total.ties_y,totalPPA,percentPPA
0,1,Alabama,319.71,1,311.1,1,302.04,1,323.87,14,12,2,0,15,14,1,0,15,14,1,0,14,13,1,0,358.9,0.78
1,2,LSU,299.29,5,284.37,2,295.03,7,287.66,13,8,5,0,12,9,3,0,12,8,4,0,13,9,4,0,74.8,0.188
2,3,Ohio State,296.08,7,279.6,4,289.12,2,312.14,15,14,1,0,13,12,1,0,13,11,2,0,14,12,2,0,370.1,0.607
3,4,Florida State,286.79,3,287.06,3,294.83,6,292.88,14,13,1,0,13,10,3,0,13,10,3,0,13,7,6,0,179.3,0.654
4,5,Texas A&M,278.08,11,270.61,18,238.94,13,248.58,13,8,5,0,13,8,5,0,13,8,5,0,13,7,6,0,244.5,0.613
5,6,Auburn,277.12,8,278.31,9,275.14,9,255.92,13,8,5,0,13,7,6,0,13,8,5,0,14,10,4,0,339.7,0.809
6,7,Tennessee,274.77,4,286.26,14,253.94,17,237.21,13,7,6,0,13,9,4,0,13,9,4,0,12,4,8,0,104.2,0.655
7,8,Georgia,273.39,6,282.54,6,281.31,3,301.6,13,10,3,0,13,10,3,0,13,8,5,0,15,13,2,0,332.9,0.632
8,9,Florida,267.4,21,227.46,12,260.96,11,251.23,12,7,5,0,14,10,4,0,13,9,4,0,11,4,7,0,174.1,0.705
9,10,USC,264.86,2,310.88,10,273.71,4,297.1,13,9,4,0,14,8,6,0,13,10,3,0,14,11,3,0,171.8,0.295
10,11,Notre Dame,260.44,13,267.79,15,249.43,10,251.32,13,8,5,0,13,10,3,0,12,4,8,0,13,10,3,0,254.0,0.677
11,12,Miami,256.08,27,215.49,22,231.78,12,248.67,13,6,7,0,13,8,5,0,13,9,4,0,13,10,3,0,248.9,0.728
12,13,Stanford,250.05,24,220.65,16,245.82,14,246.79,13,8,5,0,14,12,2,0,13,10,3,0,14,9,5,0,384.9,0.863
13,14,Oklahoma,248.94,15,249.69,19,238.73,8,270.79,13,8,5,0,13,11,2,0,13,11,2,0,14,12,2,0,336.9,0.404
14,15,Ole Miss,241.12,17,245.71,5,281.69,31,207.63,13,9,4,0,13,10,3,0,12,5,7,0,12,6,6,0,297.3,0.623
15,16,Clemson,240.73,9,277.98,11,271.16,16,238.91,13,10,3,0,15,14,1,0,15,14,1,0,14,12,2,0,360.2,0.792
16,17,Texas,239.85,10,272.49,7,280.66,25,217.76,13,6,7,0,12,5,7,0,12,5,7,0,13,7,6,0,196.1,0.651
17,18,UCLA,239.74,12,269.68,13,259.06,20,229.13,13,10,3,0,13,8,5,0,12,4,8,0,13,6,7,0,174.9,0.345
18,19,South Carolina,239.33,20,230.49,25,216.77,21,227.58,13,7,6,0,12,3,9,0,13,6,7,0,13,9,4,0,273.8,0.889
