conference,team,offense.overall,defense.overall
Mountain West,Air Force,0.31831876744262804040,0.12454230858241357067
Mid-American,Akron,-0.06170488685171454752,0.21746490702383670713
SEC,Alabama,0.41400286989070525349,0.01308317633999896327
Sun Belt,Appalachian State,0.27306115522965120691,0.09156834815105461072
Pac-12,Arizona,0.22629339665723106664,0.25540295292479881100
Pac-12,Arizona State,0.15039627402471839388,0.17460534514206886841
SEC,Arkansas,0.06438941598650372387,0.31330728586349868585
Sun Belt,Arkansas State,0.21449313136998625961,0.18747843241206599958
FBS Independents,Army,0.26250902462198164765,0.20037216251443599933
SEC,Auburn,0.20806370898042693458,0.05687643490273742988
Mid-American,Ball State,0.24671466351731247823,0.22129433981927125345
Big 12,Baylor,0.23007757035108415325,0.08668341831927638103
Mountain West,Boise State,0.24337136640213518522,0.13412153055438849303
ACC,Boston College,0.22694284950315251691,0.23143363229657850733
Mid-American,Bowling Green,0.00414069495906772872,0.31965254030503105503
Mid-American,Buffalo,0.20132289665488607090,0.05205438087039904397
FBS Independents,BYU,0.19339758329483909789,0.15338031695227809628
Pac-12,California,0.13648420469975562193,0.11395649925814275913
Mid-American,Central Michigan,0.22187489533330286019,0.12422890323071039600
Conference USA,Charlotte,0.23756069872993524602,0.24196668803239408133
American Athletic,Cincinnati,0.18293793818393755870,0.08571754177402264976
ACC,Clemson,0.37156861604449555668,0.00805014153171002750
Sun Belt,Coastal Carolina,0.22522748965117635166,0.25002026526556623269
Pac-12,Colorado,0.17309249744415200940,0.27028715311434951765
Mountain West,Colorado State,0.22078201786171974688,0.17820814011512016826
American Athletic,Connecticut,0.04414807040070177843,0.33171549221238427979
ACC,Duke,0.04772511749750757171,0.14406022414124165918
American Athletic,East Carolina,0.15295673838587463390,0.28350233238102082435
Mid-American,Eastern Michigan,0.23153812102042690592,0.27335584337434380908
SEC,Florida,0.26915960213804938257,0.06421875010518931709
Conference USA,Florida Atlantic,0.21333214081120601356,0.10649227930081884238
Conference USA,Florida International,0.18248119168801415827,0.15994055874730912419
ACC,Florida State,0.19385574792031450557,0.13216534400240998025
Mountain West,Fresno State,0.22999929437760833787,0.18472952022019301854
SEC,Georgia,0.20520395658995671133,0.02864463097454771622
Sun Belt,Georgia Southern,0.14686192824755072698,0.18606616680515969490
Sun Belt,Georgia State,0.22664679392339034920,0.31308146266486662044
ACC,Georgia Tech,0.07979235615044081721,0.21626377588341838160
Mountain West,Hawai'i,0.28846884933664270313,0.22195621418831967839
American Athletic,Houston,0.16714921766898329084,0.28429236319703157388
Big Ten,Illinois,0.10558526990823845857,0.11436658423877670704
Big Ten,Indiana,0.18975336783644418870,0.12360513001441398703
Big Ten,Iowa,0.15054421613768917673,0.06556183711826276199
Big 12,Iowa State,0.22853536442072214383,0.15333026588740301889
Big 12,Kansas,0.18291447435954850731,0.26836400159906325159
Big 12,Kansas State,0.18976226541444783600,0.18699576873523857162
Mid-American,Kent State,0.20963440557121852323,0.27490959019506845502
SEC,Kentucky,0.20808522737648720529,0.12594031034283477134
FBS Independents,Liberty,0.26629579742602695244,0.17609696091415970109
Sun Belt,Louisiana,0.34184795870343536402,0.12548027728105960425
Sun Belt,Louisiana Monroe,0.22957107175530255999,0.29520596961562925170
Conference USA,Louisiana Tech,0.21202233790026015432,0.06898231817547144120
ACC,Louisville,0.28813424387429198731,0.24758894751951819426
SEC,LSU,0.41995514176072842044,0.09764219274008083930
Conference USA,Marshall,0.15840151888830674853,0.14824553157591741317
Big Ten,Maryland,0.08431666868747291120,0.19843982674593221378
American Athletic,Memphis,0.32266702841228979146,0.15610216810147606913
ACC,Miami,0.13441657681151612611,0.09325024607867561558
Mid-American,Miami (OH),0.05665911811196849102,0.14981513814674802954
Big Ten,Michigan,0.19732304194467075617,0.07169600961274409245
Big Ten,Michigan State,0.07577014314446666423,0.08536037946480719721
Conference USA,Middle Tennessee,0.23065218219035521516,0.20658993240476323440
Big Ten,Minnesota,0.30141612125851229475,0.08732400398244425979
SEC,Mississippi State,0.25886659956084054846,0.20023200972858906609
SEC,Missouri,0.12220843451710947846,0.03664758228655153702
