year,team,total.games,total.wins,total.losses,total.ties
2014,Air Force,13,10,3,0
2014,Akron,12,5,7,0
2014,Alabama,14,12,2,0
2014,Appalachian State,12,7,5,0
2014,Arizona,14,10,4,0
2014,Arizona State,13,10,3,0
2014,Arkansas,13,7,6,0
2014,Arkansas State,13,7,6,0
2014,Army,12,4,8,0
2014,Auburn,13,8,5,0
2014,Ball State,12,5,7,0
2014,Baylor,13,11,2,0
2014,Boise State,14,12,2,0
2014,Boston College,13,7,6,0
2014,Bowling Green,14,8,6,0
2014,Buffalo,11,5,6,0
2014,BYU,13,8,5,0
2014,California,12,5,7,0
2014,Central Michigan,13,7,6,0
2014,Cincinnati,13,9,4,0
2014,Clemson,13,10,3,0
2014,Colorado,12,2,10,0
2014,Colorado State,13,10,3,0
2014,Connecticut,12,2,10,0
2014,Duke,13,9,4,0
2014,East Carolina,13,8,5,0
2014,Eastern Michigan,12,2,10,0
2014,Florida,12,7,5,0
2014,Florida Atlantic,12,3,9,0
2014,Florida International,12,4,8,0
2014,Florida State,14,13,1,0
2014,Fresno State,14,6,8,0
2014,Georgia,13,10,3,0
2014,Georgia Southern,12,9,3,0
2014,Georgia State,12,1,11,0
2014,Georgia Tech,14,11,3,0
2014,Hawai'i,13,4,9,0
2014,Houston,13,8,5,0
2014,Idaho,11,1,10,0
2014,Illinois,13,6,7,0
2014,Indiana,12,4,8,0
2014,Iowa,13,7,6,0
2014,Iowa State,12,2,10,0
2014,Kansas,12,3,9,0
2014,Kansas State,13,9,4,0
2014,Kent State,11,2,9,0
2014,Kentucky,12,5,7,0
2014,Louisiana,13,9,4,0
2014,Louisiana Monroe,12,4,8,0
2014,Louisiana Tech,14,9,5,0
2014,Louisville,13,9,4,0
2014,LSU,13,8,5,0
2014,Marshall,14,13,1,0
2014,Maryland,13,7,6,0
2014,Memphis,13,10,3,0
2014,Miami,13,6,7,0
2014,Miami (OH),12,2,10,0
2014,Michigan,12,5,7,0
2014,Michigan State,13,11,2,0
2014,Middle Tennessee,12,6,6,0
2014,Minnesota,13,8,5,0
2014,Mississippi State,13,10,3,0
2014,Missouri,14,11,3,0
2014,Navy,13,8,5,0
2014,NC State,13,8,5,0
2014,Nebraska,13,9,4,0
2014,Nevada,13,7,6,0
2014,New Mexico,12,4,8,0
2014,New Mexico State,12,2,10,0
2014,North Carolina,13,6,7,0
2014,Northern Illinois,14,11,3,0
2014,North Texas,12,4,8,0
2014,Northwestern,12,5,7,0
2014,Notre Dame,13,8,5,0
2014,Ohio,12,6,6,0
2014,Ohio State,15,14,1,0
2014,Oklahoma,13,8,5,0
2014,Oklahoma State,13,7,6,0
2014,Old Dominion,12,6,6,0
2014,Ole Miss,13,9,4,0
2014,Oregon,15,13,2,0
2014,Oregon State,12,5,7,0
2014,Penn State,13,7,6,0
2014,Pittsburgh,13,6,7,0
2014,Purdue,12,3,9,0
2014,Rice,13,8,5,0
2014,Rutgers,13,8,5,0
2014,San Diego State,13,7,6,0
2014,San José State,12,3,9,0
2014,SMU,12,1,11,0
2014,South Alabama,13,6,7,0
2014,South Carolina,13,7,6,0
2014,Southern Mississippi,12,3,9,0
2014,South Florida,12,4,8,0
2014,Stanford,13,8,5,0
2014,Syracuse,12,3,9,0
2014,TCU,13,12,1,0
2014,Temple,12,6,6,0
2014,Tennessee,13,7,6,0
2014,Texas,13,6,7,0
2014,Texas A&M,13,8,5,0
2014,Texas State,12,7,5,0
2014,Texas Tech,12,4,8,0
2014,Toledo,13,9,4,0
2014,Troy,12,3,9,0
2014,Tulane,12,3,9,0
2014,Tulsa,12,2,10,0
2014,UAB,12,6,6,0
2014,UCF,13,9,4,0
2014,UCLA,13,10,3,0
2014,UMass,12,3,9,0
2014,UNLV,13,2,11,0
2014,USC,13,9,4,0
2014,Utah,13,9,4,0
2014,Utah State,14,10,4,0
2014,UTEP,13,7,6,0
2014,UT San Antonio,12,4,8,0
2014,Vanderbilt,12,3,9,0
2014,Virginia,12,5,7,0
2014,Virginia Tech,13,7,6,0
2014,Wake Forest,12,3,9,0
2014,Washington,14,8,6,0
2014,Washington State,12,3,9,0
2014,Western Kentucky,13,8,5,0
2014,Western Michigan,13,8,5,0
2014,West Virginia,13,7,6,0
2014,Wisconsin,14,11,3,0
2014,Wyoming,12,4,8,0
