team,total.games,total.wins,total.losses,total.ties
Air Force,14,8,6,0
Akron,13,8,5,0
Alabama,15,14,1,0
Appalachian State,13,11,2,0
Arizona,13,7,6,0
Arizona State,13,6,7,0
Arkansas,13,8,5,0
Arkansas State,13,9,4,0
Army,12,2,10,0
Auburn,13,7,6,0
Ball State,12,3,9,0
Baylor,13,10,3,0
Boise State,13,9,4,0
Boston College,12,3,9,0
Bowling Green,14,10,4,0
Buffalo,12,5,7,0
BYU,13,9,4,0
California,13,8,5,0
Central Michigan,13,7,6,0
Charlotte,12,2,10,0
Cincinnati,13,7,6,0
Clemson,15,14,1,0
Colorado,13,4,9,0
Colorado State,13,7,6,0
Connecticut,13,6,7,0
Duke,13,8,5,0
East Carolina,12,5,7,0
Eastern Michigan,12,1,11,0
Florida,14,10,4,0
Florida Atlantic,12,3,9,0
Florida International,12,5,7,0
Florida State,13,10,3,0
Fresno State,12,3,9,0
Georgia,13,10,3,0
Georgia Southern,13,9,4,0
Georgia State,13,6,7,0
Georgia Tech,12,3,9,0
Hawai'i,13,3,10,0
Houston,14,13,1,0
Idaho,12,4,8,0
Illinois,12,5,7,0
Indiana,13,6,7,0
Iowa,14,12,2,0
Iowa State,12,3,9,0
Kansas,12,0,12,0
Kansas State,13,6,7,0
Kent State,12,3,9,0
Kentucky,12,5,7,0
Louisiana,12,4,8,0
Louisiana Monroe,13,2,11,0
Louisiana Tech,13,9,4,0
Louisville,13,8,5,0
LSU,12,9,3,0
Marshall,13,10,3,0
Maryland,12,3,9,0
Memphis,13,9,4,0
Miami,13,8,5,0
Miami (OH),12,3,9,0
Michigan,13,10,3,0
Michigan State,14,12,2,0
Middle Tennessee,13,7,6,0
Minnesota,13,6,7,0
Mississippi State,13,9,4,0
Missouri,12,5,7,0
Navy,13,11,2,0
NC State,13,7,6,0
Nebraska,13,6,7,0
Nevada,13,7,6,0
New Mexico,13,7,6,0
New Mexico State,12,3,9,0
North Carolina,14,11,3,0
Northern Illinois,14,8,6,0
North Texas,12,1,11,0
Northwestern,13,10,3,0
Notre Dame,13,10,3,0
Ohio,13,8,5,0
Ohio State,13,12,1,0
Oklahoma,13,11,2,0
Oklahoma State,13,10,3,0
Old Dominion,12,5,7,0
Ole Miss,13,10,3,0
Oregon,13,9,4,0
Oregon State,12,2,10,0
Penn State,13,7,6,0
Pittsburgh,13,8,5,0
Purdue,12,2,10,0
Rice,12,5,7,0
Rutgers,12,4,8,0
San Diego State,14,11,3,0
San José State,13,6,7,0
SMU,12,2,10,0
South Alabama,12,5,7,0
South Carolina,12,3,9,0
Southern Mississippi,14,9,5,0
South Florida,13,8,5,0
Stanford,14,12,2,0
Syracuse,12,4,8,0
TCU,13,11,2,0
Temple,14,10,4,0
Tennessee,13,9,4,0
Texas,12,5,7,0
Texas A&M,13,8,5,0
Texas State,12,3,9,0
Texas Tech,13,7,6,0
Toledo,12,10,2,0
Troy,12,4,8,0
Tulane,12,3,9,0
Tulsa,13,6,7,0
UCF,12,0,12,0
UCLA,13,8,5,0
UMass,12,3,9,0
UNLV,12,3,9,0
USC,14,8,6,0
Utah,13,10,3,0
Utah State,13,6,7,0
UTEP,12,5,7,0
UT San Antonio,12,3,9,0
Vanderbilt,12,4,8,0
Virginia,12,4,8,0
Virginia Tech,13,7,6,0
Wake Forest,12,3,9,0
Washington,13,7,6,0
Washington State,13,9,4,0
Western Kentucky,14,12,2,0
Western Michigan,13,8,5,0
West Virginia,13,8,5,0
Wisconsin,13,10,3,0
Wyoming,12,2,10,0
